,Unnamed: 0,tconst,title_type,primary_title,original_title,year,runtime_minutes,genres,simple_title,average_rating,num_votes,christmas,hanukkah,kwanzaa,holiday,earnings
20,20,tt0030897,movie,Tropic Holiday,Tropic Holiday,1938,78.0,"Comedy,Music,Romance",tropic holiday,5.5,106,False,False,False,True,71044620.9
21,21,tt0031490,movie,Inspector Hornleigh on Holiday,Inspector Hornleigh on Holiday,1939,90.0,"Comedy,Crime,Drama",inspector hornleigh on holiday,6.8,232,False,False,False,True,1401999.52
22,22,tt0032338,movie,Christmas in July,Christmas in July,1940,67.0,"Comedy,Drama,Romance",christmas in july,7.4,4172,True,False,False,False,67030235.260000005
23,23,tt0034862,movie,Holiday Inn,Holiday Inn,1942,100.0,"Comedy,Drama,Music",holiday inn,7.3,16722,False,False,False,True,69223082.2
24,24,tt0036014,movie,Hoosier Holiday,Hoosier Holiday,1943,65.0,"Comedy,Music,Romance",hoosier holiday,6.7,19,False,False,False,True,47913857.4
25,25,tt0036711,movie,Christmas Holiday,Christmas Holiday,1944,93.0,"Crime,Drama,Film-Noir",christmas holiday,6.5,1583,True,False,False,True,75479313.0
26,26,tt0036988,movie,Knickerbocker Holiday,Knickerbocker Holiday,1944,85.0,"Comedy,History,Musical",knickerbocker holiday,5.3,196,False,False,False,True,51454007.49
27,27,tt0037242,movie,Sailor's Holiday,Sailor's Holiday,1944,60.0,"Comedy,Romance,War",sailors holiday,6.0,21,False,False,False,True,31213212.0
28,28,tt0037595,movie,Christmas in Connecticut,Christmas in Connecticut,1945,101.0,"Comedy,Romance",christmas in connecticut,7.3,11196,True,False,False,False,98127564.33
29,29,tt0038125,movie,Strange Holiday,Strange Holiday,1945,61.0,"Drama,Thriller",strange holiday,5.4,239,False,False,False,True,33965165.160000004
30,30,tt0038606,movie,Holiday in Mexico,Holiday in Mexico,1946,128.0,"Comedy,Musical,Romance",holiday in mexico,6.1,490,False,False,False,True,79831491.78
31,31,tt0038833,movie,Perilous Holiday,Perilous Holiday,1946,89.0,"Crime,Drama",perilous holiday,6.0,33,False,False,False,True,47850744.0
32,32,tt0039203,movie,Blondie's Holiday,Blondie's Holiday,1947,67.0,"Comedy,Family",blondies holiday,6.5,195,False,False,False,True,13898924.0
33,33,tt0039231,movie,Bush Christmas,Bush Christmas,1947,80.0,"Action,Adventure,Comedy",bush christmas,6.2,515,True,False,False,False,63044289.56000001
34,34,tt0039266,movie,Christmas Eve,Christmas Eve,1947,90.0,"Comedy,Drama",christmas eve,5.7,805,True,False,False,False,70407205.41000001
35,35,tt0039473,movie,Hoppy's Holiday,Hoppy's Holiday,1947,60.0,Western,hoppys holiday,6.5,148,False,False,False,True,12368998.85
36,36,tt0039562,movie,A Christmas Carol,Leyenda de Navidad,1947,80.0,"Drama,Fantasy",a christmas carol,5.4,32,True,False,False,False,7493757.66
37,37,tt0040443,movie,Holiday Camp,Holiday Camp,1947,93.0,"Adventure,Comedy,Crime",holiday camp,6.6,537,False,False,False,True,89114655.3
38,38,tt0040848,movie,Summer Holiday,Summer Holiday,1948,93.0,Musical,summer holiday,5.8,638,False,False,False,True,68560763.54
39,39,tt0041099,movie,Holidays in Hell,Agaza fel gahannam,1949,,,holidays in hell,5.9,19,False,False,False,True,59030869.39
40,40,tt0041473,movie,Holiday Affair,Holiday Affair,1949,87.0,"Comedy,Drama,Family",holiday affair,7.1,6591,False,False,False,True,55923296.26
41,41,tt0041475,movie,Holiday in Havana,Holiday in Havana,1949,73.0,"Comedy,Musical",holiday in havana,5.9,125,False,False,False,True,8440544.72
42,42,tt0041528,movie,Johnny Holiday,Johnny Holiday,1949,92.0,"Crime,Drama,Film-Noir",johnny holiday,7.3,104,False,False,False,True,70557516.36
43,43,tt0042568,movie,Holiday Rhythm,Holiday Rhythm,1950,60.0,Musical,holiday rhythm,6.6,34,False,False,False,True,36147025.85999999
44,44,tt0042665,movie,Last Holiday,Last Holiday,1950,88.0,"Drama,Romance",last holiday,7.3,2067,False,False,False,True,63768530.23
45,45,tt0044008,movie,A Christmas Carol,Scrooge,1951,86.0,"Drama,Family,Fantasy",a christmas carol,8.1,24671,True,False,False,False,91658281.32
46,46,tt0044708,movie,Holiday Week,Hindle Wakes,1952,82.0,"Drama,Romance",holiday week,6.1,206,False,False,False,True,15210339.02
47,47,tt0044715,movie,Holiday for Sinners,Holiday for Sinners,1952,72.0,Drama,holiday for sinners,5.9,184,False,False,False,True,33804654.75
48,48,tt0046250,movie,Roman Holiday,Roman Holiday,1953,118.0,"Comedy,Romance",roman holiday,8.0,145289,False,False,False,True,101386308.8
49,49,tt0046487,movie,Monsieur Hulot's Holiday,Les vacances de Monsieur Hulot,1953,114.0,Comedy,monsieur hulots holiday,7.3,19875,False,False,False,True,52068793.22
50,50,tt0047673,movie,White Christmas,White Christmas,1954,120.0,"Comedy,Musical,Romance",white christmas,7.6,47688,True,False,False,False,78399851.24
51,51,tt0047939,movie,Cinerama Holiday,Cinerama Holiday,1955,119.0,Documentary,cinerama holiday,7.3,142,False,False,False,True,94093426.64999999
52,52,tt0048104,movie,Holiday for Henrietta,La fête à Henriette,1952,118.0,Comedy,holiday for henrietta,7.4,391,False,False,False,True,75748148.62
53,53,tt0051147,movie,Holiday Island,Vacanze a Ischia,1957,105.0,"Comedy,Romance",holiday island,6.1,70,False,False,False,True,29022273.169999998
54,54,tt0051493,movie,Country Music Holiday,Country Music Holiday,1958,81.0,"Music,Romance",country music holiday,5.9,82,False,False,False,True,59645674.17000001
55,55,tt0052047,movie,Paris Holiday,Paris Holiday,1958,103.0,"Action,Comedy,Romance",paris holiday,5.7,513,False,False,False,True,11568681.81
56,56,tt0052284,movie,"At That Time, at Christmas...",Tenkrát o vánocích,1958,85.0,"Drama,War",at that time at christmas,6.5,20,True,False,False,False,71799813.14999999
57,57,tt0052897,movie,Holiday for Lovers,Holiday for Lovers,1959,103.0,Comedy,holiday for lovers,5.6,426,False,False,False,True,20106397.36
58,58,tt0054271,movie,Holiday in Spain,Scent of Mystery,1960,125.0,"Adventure,Crime,Mystery",holiday in spain,5.5,399,False,False,False,True,56292941.099999994
59,59,tt0056334,movie,Passion Holiday,Passion Holiday,1963,75.0,"Comedy,Drama",passion holiday,6.1,12,False,False,False,True,5087208.46
60,60,tt0057541,movie,Summer Holiday,Summer Holiday,1963,107.0,"Comedy,Musical,Romance",summer holiday,6.1,1816,False,False,False,True,33055949.409999996
61,61,tt0057637,movie,The Night Before Christmas,Vechera na khutore bliz Dikanki,1961,68.0,"Comedy,Fantasy,Romance",the night before christmas,7.5,1934,True,False,False,False,41979342.75
62,62,tt0057916,tvMovie,Carol for Another Christmas,Carol for Another Christmas,1964,84.0,"Drama,Fantasy",carol for another christmas,6.5,1246,True,False,False,False,19489473.900000002
63,63,tt0058197,movie,Holiday in St. Tropez,Holiday in St. Tropez,1964,96.0,Comedy,holiday in st tropez,5.7,37,False,False,False,True,48359657.85
64,64,tt0059004,movie,Every Day Is a Holiday,Cabriola,1965,90.0,"Comedy,Drama,Musical",every day is a holiday,5.4,70,False,False,False,True,34643404.620000005
65,65,tt0059026,tvMovie,A Charlie Brown Christmas,A Charlie Brown Christmas,1965,25.0,"Animation,Comedy,Drama",a charlie brown christmas,8.3,42101,True,False,False,False,24241596.69
66,66,tt0059032,movie,The Christmas That Almost Wasn't,Il Natale che quasi non fu,1966,94.0,"Family,Fantasy",the christmas that almost wasnt,3.5,917,True,False,False,False,22505564.900000002
67,67,tt0060236,movie,The Christmas Tree,The Christmas Tree,1966,59.0,Family,the christmas tree,6.4,168,True,False,False,False,79024115.2
68,68,tt0060345,tvMovie,How the Grinch Stole Christmas!,How the Grinch Stole Christmas!,1966,26.0,"Animation,Comedy,Family",how the grinch stole christmas,8.3,56692,True,False,False,False,29163807.94
69,69,tt0061844,movie,The Christmas Kid,The Christmas Kid,1967,85.0,"Drama,Western",the christmas kid,5.4,66,True,False,False,False,2637113.7600000002
70,70,tt0064037,movie,The Christmas Tree,L'arbre de Noël,1969,110.0,Drama,the christmas tree,6.3,719,True,False,False,False,23150392.65
71,71,tt0065040,movie,Strange Holiday,Strange Holiday,1970,75.0,"Adventure,Family",strange holiday,4.4,85,False,False,False,True,1760469.9200000002
72,72,tt0066975,tvMovie,Death Takes a Holiday,Death Takes a Holiday,1971,73.0,"Drama,Fantasy,Romance",death takes a holiday,7.2,291,False,False,False,True,68387729.03999999
73,73,tt0067209,tvMovie,The Homecoming: A Christmas Story,The Homecoming: A Christmas Story,1971,100.0,"Drama,Family",the homecoming a christmas story,8.3,2039,True,False,False,False,11951354.26
74,74,tt0067400,movie,The Christmas Martian,Le martien de Noël,1971,65.0,"Family,Sci-Fi",the christmas martian,4.8,186,True,False,False,False,15343239.36
75,75,tt0068683,movie,Main Thing Holidays,Hauptsache Ferien,1972,103.0,Comedy,main thing holidays,4.8,90,False,False,False,True,59630443.68
76,76,tt0068708,tvMovie,Home for the Holidays,Home for the Holidays,1972,73.0,"Drama,Horror,Mystery",home for the holidays,6.2,1265,False,False,False,True,58110333.9
77,77,tt0068720,tvMovie,The House Without a Christmas Tree,The House Without a Christmas Tree,1972,75.0,"Drama,Family",the house without a christmas tree,8.0,874,True,False,False,False,52713156.8
78,78,tt0070004,tvMovie,A Dream for Christmas,A Dream for Christmas,1973,100.0,Drama,a dream for christmas,6.7,112,True,False,False,False,44514837.519999996
79,79,tt0071222,movie,Black Christmas,Black Christmas,1974,98.0,"Horror,Mystery,Thriller",black christmas,7.1,46105,True,False,False,False,28177173.599999998
80,80,tt0071613,movie,Holiday on the Buses,Holiday on the Buses,1973,87.0,Comedy,holiday on the buses,5.8,2020,False,False,False,True,8999553.18
81,81,tt0073751,tvMovie,The First Christmas: The Story of the First Christmas Snow,The First Christmas: The Story of the First Christmas Snow,1975,22.0,"Animation,Family,Fantasy",the first christmas the story of the first christmas snow,6.8,579,True,False,False,False,42719453.68
82,82,tt0074813,movie,Olympian Holiday,Loma,1976,113.0,"Comedy,Romance",olympian holiday,6.5,413,False,False,False,True,30548314.55
83,83,tt0075128,movie,Journey to the Christmas Star,Reisen til julestjernen,1976,92.0,"Adventure,Family,Fantasy",journey to the christmas star,6.5,1355,True,False,False,False,26961213.5
84,84,tt0075449,tvMovie,Young Pioneers' Christmas,Young Pioneers' Christmas,1976,100.0,"Drama,Western",young pioneers christmas,6.9,86,True,False,False,False,39825110.19
85,85,tt0075846,tvMovie,"Christmas Miracle in Caufield, U.S.A.","Christmas Miracle in Caufield, U.S.A.",1977,97.0,Drama,christmas miracle in caufield usa,5.8,171,True,False,False,False,3111164.6599999997
86,86,tt0075875,movie,Confessions from a Holiday Camp,Confessions from a Holiday Camp,1977,88.0,Comedy,confessions from a holiday camp,4.2,1030,False,False,False,True,34051700.34
87,87,tt0075988,tvMovie,Emmet Otter's Jug-Band Christmas,Emmet Otter's Jug-Band Christmas,1977,48.0,"Comedy,Drama,Family",emmet otters jugband christmas,8.2,4460,True,False,False,False,23980735.179999996
88,88,tt0076213,tvMovie,It Happened One Christmas,It Happened One Christmas,1977,109.0,"Comedy,Fantasy",it happened one christmas,6.0,969,True,False,False,False,46957962.0
89,89,tt0076448,tvMovie,"Nestor, the Long-Eared Christmas Donkey","Nestor, the Long-Eared Christmas Donkey",1977,24.0,"Animation,Drama,Family",nestor the longeared christmas donkey,6.9,2335,True,False,False,False,46165902.45
90,90,tt0076783,tvMovie,Sunshine Christmas,Sunshine Christmas,1977,120.0,Drama,sunshine christmas,7.8,93,True,False,False,False,74320320.36
91,91,tt0077281,movie,Blue Christmas,Burû Kurisumasu,1978,133.0,Sci-Fi,blue christmas,6.2,124,True,False,False,False,76451284.88000001
92,92,tt0077333,tvMovie,A Christmas to Remember,A Christmas to Remember,1978,100.0,"Drama,Family",a christmas to remember,6.4,171,True,False,False,False,72861338.24
93,93,tt0077465,movie,Where Are You Going on Holiday?,Dove vai in vacanza?,1978,127.0,Comedy,where are you going on holiday,6.3,563,False,False,False,True,69507596.97
94,94,tt0077710,movie,Holiday Hotel,L'Hôtel de la plage,1978,110.0,Comedy,holiday hotel,6.0,347,False,False,False,True,34783124.400000006
95,95,tt0078132,movie,The Night Before Christmas,Questo si che è amore,1978,100.0,"Drama,Horror",the night before christmas,6.1,71,True,False,False,False,34514181.25
96,96,tt0078764,tvMovie,An American Christmas Carol,An American Christmas Carol,1979,98.0,"Drama,Fantasy",an american christmas carol,6.8,1616,True,False,False,False,38054588.4
97,97,tt0078968,tvMovie,Christmas Lilies of the Field,Christmas Lilies of the Field,1979,120.0,Drama,christmas lilies of the field,6.5,107,True,False,False,False,54768286.95
98,98,tt0079828,tvMovie,Rudolph and Frosty's Christmas in July,Rudolph and Frosty's Christmas in July,1979,97.0,"Adventure,Animation,Comedy",rudolph and frostys christmas in july,6.3,2547,True,False,False,False,5709855.06
99,99,tt0080531,movie,Christmas Mountain,Christmas Mountain,1981,90.0,"Adventure,Drama,Family",christmas mountain,6.5,148,True,False,False,False,52743356.25
100,100,tt0080532,tvMovie,A Christmas Without Snow,A Christmas Without Snow,1980,120.0,"Drama,Music",a christmas without snow,5.7,401,True,False,False,False,42086892.78
101,101,tt0080822,movie,Crazy Swedish Holidays in Paris,Gräsänkor på skandalsemester,1980,94.0,Comedy,crazy swedish holidays in paris,4.7,31,False,False,False,True,36731717.77
102,102,tt0081190,tvMovie,Mr. Krueger's Christmas,Mr. Krueger's Christmas,1980,26.0,"Drama,Family,Fantasy",mr kruegers christmas,7.9,1092,True,False,False,False,106995165.22000001
103,103,tt0081340,tvMovie,Pinocchio's Christmas,Pinocchio's Christmas,1980,49.0,"Animation,Comedy,Family",pinocchios christmas,6.4,752,True,False,False,False,7747322.88
104,104,tt0081793,movie,Christmas Evil,You Better Watch Out,1980,100.0,"Horror,Thriller",christmas evil,5.5,8110,True,False,False,False,63819589.349999994
105,105,tt0085231,tvMovie,The Best Christmas Pageant Ever,The Best Christmas Pageant Ever,1983,48.0,"Comedy,Family",the best christmas pageant ever,7.2,789,True,False,False,False,5943437.28
106,106,tt0085282,movie,Bush Christmas,Bush Christmas,1983,91.0,"Drama,Family",bush christmas,5.2,384,True,False,False,False,29245507.2
107,107,tt0085334,movie,A Christmas Story,A Christmas Story,1983,93.0,"Comedy,Family",a christmas story,7.9,163273,True,False,False,False,55131010.31
108,108,tt0085593,tvMovie,The Gift of Love: A Christmas Story,The Gift of Love: A Christmas Story,1983,96.0,Drama,the gift of love a christmas story,6.7,357,True,False,False,False,19306526.37
109,109,tt0085933,movie,Merry Christmas Mr. Lawrence,"Merry Christmas, Mr. Lawrence",1983,123.0,"Drama,War",merry christmas mr lawrence,7.2,19475,True,False,False,False,94105167.84
110,110,tt0087056,tvMovie,A Christmas Carol,A Christmas Carol,1984,100.0,"Drama,Family,Fantasy",a christmas carol,7.8,17146,True,False,False,False,68264391.0
111,111,tt0087548,tvMovie,Kenny & Dolly: A Christmas to Remember,Kenny & Dolly: A Christmas to Remember,1984,60.0,Music,kenny  dolly a christmas to remember,8.3,139,True,False,False,False,111663789.38000001
112,112,tt0087797,tvMovie,The Night They Saved Christmas,The Night They Saved Christmas,1984,92.0,"Drama,Family,Fantasy",the night they saved christmas,6.5,1605,True,False,False,False,80398436.95
113,113,tt0088106,movie,Merry Christmas,Sing dan fai lok,1984,96.0,"Comedy,Romance",merry christmas,6.6,170,True,False,False,False,14727856.44
114,114,tt0089038,movie,Don't Open Till Christmas,Dont Open Till Christmas,1984,86.0,"Horror,Mystery",dont open till christmas,4.7,2804,True,False,False,False,26087705.790000003
115,115,tt0089285,movie,Holidays in Amsterdam,Wakacje w Amsterdamie,1986,87.0,Drama,holidays in amsterdam,5.3,11,False,False,False,True,60218353.55
116,116,tt0089731,movie,One Magic Christmas,One Magic Christmas,1985,89.0,"Family,Fantasy",one magic christmas,6.4,4233,True,False,False,False,64611930.24
117,117,tt0090838,tvMovie,Christmas Eve,Christmas Eve,1986,93.0,Drama,christmas eve,7.3,427,True,False,False,False,96169028.35
118,118,tt0090839,tvMovie,The Christmas Gift,The Christmas Gift,1986,120.0,Drama,the christmas gift,6.5,768,True,False,False,False,48757554.300000004
119,119,tt0090840,movie,The Christmas Star,The Christmas Star,1986,94.0,"Drama,Family",the christmas star,6.1,770,True,False,False,False,75801429.18
120,120,tt0091975,tvMovie,A Smoky Mountain Christmas,A Smoky Mountain Christmas,1986,94.0,"Fantasy,Music",a smoky mountain christmas,6.9,1290,True,False,False,False,80725964.19
121,121,tt0092167,movie,Merry Christmas Octopus,Veselé vánoce prejí chobotnice,1987,92.0,"Comedy,Family,Sci-Fi",merry christmas octopus,6.8,191,True,False,False,False,57860390.8
122,122,tt0092756,tvMovie,Christmas Comes to Willow Creek,Christmas Comes to Willow Creek,1987,93.0,"Drama,Family,Fantasy",christmas comes to willow creek,6.4,619,True,False,False,False,1094206.72
123,123,tt0093198,tvMovie,A Hobo's Christmas,A Hobo's Christmas,1987,100.0,Drama,a hobos christmas,6.4,427,True,False,False,False,87083046.4
124,124,tt0093877,tvMovie,Roman Holiday,Roman Holiday,1987,100.0,"Comedy,Drama,Romance",roman holiday,5.0,156,False,False,False,True,48266090.0
125,125,tt0094754,tvMovie,Blackadder's Christmas Carol,Blackadder's Christmas Carol,1988,43.0,"Comedy,History",blackadders christmas carol,7.9,13712,True,False,False,False,64692296.57
126,126,tt0094873,tvMovie,The Christmas Wife,The Christmas Wife,1988,73.0,Drama,the christmas wife,6.2,408,True,False,False,False,76907015.26
127,127,tt0095107,movie,Ernest Saves Christmas,Ernest Saves Christmas,1988,95.0,"Comedy,Family,Fantasy",ernest saves christmas,5.7,12392,True,False,False,False,33628793.31
128,128,tt0095347,tvMovie,I'll Be Home for Christmas,I'll Be Home for Christmas,1988,96.0,Drama,ill be home for christmas,6.5,292,True,False,False,False,27412997.95
129,129,tt0095416,tvMovie,Julie Andrews: The Sound of Christmas,Julie Andrews: The Sound of Christmas,1987,48.0,"Family,Music",julie andrews the sound of christmas,8.9,125,True,False,False,False,19343800.230000004
130,130,tt0095589,tvMovie,"Marcus Welby, M.D.: A Holiday Affair","Marcus Welby, M.D.: A Holiday Affair",1988,100.0,Drama,marcus welby md a holiday affair,6.0,49,False,False,False,True,43147963.2
131,131,tt0096376,tvMovie,A Very Brady Christmas,A Very Brady Christmas,1988,100.0,"Comedy,Drama,Family",a very brady christmas,5.9,2120,True,False,False,False,27841325.92
132,132,tt0097126,movie,Cripples Go Christmas,Das Mädchen mit den Feuerzeugen,1987,100.0,Drama,cripples go christmas,6.6,14,True,False,False,False,65324493.95999999
133,133,tt0097157,tvMovie,Dark Holiday,Dark Holiday,1989,100.0,"Drama,Thriller",dark holiday,5.4,183,False,False,False,True,43705895.760000005
134,134,tt0097601,tvMovie,It Nearly Wasn't Christmas,It Nearly Wasn't Christmas,1989,100.0,"Adventure,Comedy",it nearly wasnt christmas,5.7,246,True,False,False,False,11870679.21
135,135,tt0097958,movie,National Lampoon's Christmas Vacation,National Lampoon's Christmas Vacation,1989,97.0,Comedy,national lampoons christmas vacation,7.5,209533,True,False,False,False,86313786.75
136,136,tt0099263,tvMovie,The Christmas Toy,The Christmas Toy,1986,50.0,"Family,Fantasy,Musical",the christmas toy,7.8,1404,True,False,False,False,46130319.3
137,137,tt0099711,tvMovie,Guess Who's Coming for Christmas?,Guess Who's Coming for Christmas?,1990,95.0,"Comedy,Fantasy,Sci-Fi",guess whos coming for christmas,5.1,105,True,False,False,False,40838639.129999995
138,138,tt0099780,movie,Holidays on the River Yarra,Holidays on the River Yarra,1991,88.0,Drama,holidays on the river yarra,6.0,56,False,False,False,True,72244346.4
139,139,tt0099787,tvMovie,Home for Christmas,Home for Christmas,1990,95.0,"Drama,Family",home for christmas,5.7,223,True,False,False,False,42635075.46
140,140,tt0099930,tvMovie,The Kid Who Loved Christmas,The Kid Who Loved Christmas,1990,118.0,Drama,the kid who loved christmas,6.3,304,True,False,False,False,17645009.76
141,141,tt0100173,tvMovie,A Mom for Christmas,A Mom for Christmas,1990,96.0,"Comedy,Family,Fantasy",a mom for christmas,6.5,1209,True,False,False,False,67349254.7
142,142,tt0101301,movie,All I Want for Christmas,All I Want for Christmas,1991,92.0,"Comedy,Family,Romance",all i want for christmas,5.9,5420,True,False,False,False,1165968.62
143,143,tt0101348,movie,The Comic Book Christmas Caper,Angel Square,1990,104.0,"Adventure,Crime,Family",the comic book christmas caper,6.6,60,True,False,False,False,85997421.84
144,144,tt0101580,tvMovie,Christmas on Division Street,Christmas on Division Street,1991,120.0,"Drama,Romance",christmas on division street,6.7,567,True,False,False,False,81839205.56
145,145,tt0102285,movie,Lena's Holiday,Lena's Holiday,1991,100.0,"Comedy,Romance,Thriller",lenas holiday,5.5,314,False,False,False,True,72228301.2
146,146,tt0102821,movie,Russian Holiday,Russian Holiday,1993,89.0,"Crime,Drama,Thriller",russian holiday,3.5,267,False,False,False,True,17634102.849999998
147,147,tt0103960,tvMovie,The Christmas Stallion,The Christmas Stallion,1992,95.0,Drama,the christmas stallion,5.7,118,True,False,False,False,58678639.17
148,148,tt0103961,tvMovie,Christmas in Connecticut,Christmas in Connecticut,1992,93.0,"Comedy,Romance",christmas in connecticut,4.8,1565,True,False,False,False,61182665.75999999
149,149,tt0104940,movie,The Muppet Christmas Carol,The Muppet Christmas Carol,1992,85.0,"Comedy,Drama,Family",the muppet christmas carol,7.7,66015,True,False,False,False,21556236.240000002
150,150,tt0105694,movie,Unforgetful Holiday,III Chat yat ching,1992,94.0,"Comedy,Drama",unforgetful holiday,5.3,24,False,False,False,True,60152555.64
151,151,tt0107688,movie,The Nightmare Before Christmas,The Nightmare Before Christmas,1993,76.0,"Animation,Family,Fantasy",the nightmare before christmas,7.9,367288,True,False,False,False,22802045.71
152,152,tt0109425,tvMovie,A Christmas Romance,A Christmas Romance,1994,94.0,"Comedy,Drama,Family",a christmas romance,6.1,867,True,False,False,False,71902589.78
153,153,tt0110732,tvMovie,One Christmas,One Christmas,1994,90.0,"Drama,Family",one christmas,6.0,751,True,False,False,False,44606321.400000006
154,154,tt0112509,movie,Billy's Holiday,Billy's Holiday,1995,92.0,Musical,billys holiday,5.1,164,False,False,False,True,7179401.58
155,155,tt0112667,tvMovie,The Christmas Box,The Christmas Box,1995,100.0,"Drama,Fantasy",the christmas box,7.0,1270,True,False,False,False,56077820.4
156,156,tt0112668,video,A Christmas Carol,A Christmas Carol,1997,72.0,"Adventure,Animation,Drama",a christmas carol,5.9,886,True,False,False,False,54221542.21000001
157,157,tt0113321,movie,Home for the Holidays,Home for the Holidays,1995,103.0,"Comedy,Drama,Romance",home for the holidays,6.6,14315,False,False,False,True,52674617.82
158,158,tt0115891,tvMovie,Christmas Every Day,Christmas Every Day,1996,95.0,"Comedy,Fantasy",christmas every day,6.2,1128,True,False,False,False,60676749.5
159,159,tt0115892,tvMovie,The Christmas Tree,The Christmas Tree,1996,93.0,"Drama,Family",the christmas tree,6.9,437,True,False,False,False,4185186.03
160,160,tt0115893,video,Christmas in Oz,Christmas in Oz,1996,40.0,"Animation,Fantasy,Short",christmas in oz,7.7,38,True,False,False,False,62104630.28
161,161,tt0116092,movie,The Devil Takes a Holiday,The Devil Takes a Holiday,1996,102.0,"Comedy,Fantasy",the devil takes a holiday,6.1,34,False,False,False,True,11494455.089999998
162,162,tt0116189,video,Sesame Street: Elmo Saves Christmas,Elmo Saves Christmas,1996,60.0,Family,sesame street elmo saves christmas,6.5,416,True,False,False,False,25343058.650000002
163,163,tt0116321,video,The Flintstones Christmas in Bedrock,The Flintstones Christmas in Bedrock,1996,30.0,"Animation,Short",the flintstones christmas in bedrock,7.0,197,True,False,False,False,51115989.4
164,164,tt0116544,tvMovie,Holiday Affair,Holiday Affair,1996,87.0,"Comedy,Romance",holiday affair,6.3,420,False,False,False,True,20942545.68
165,165,tt0116717,movie,The Christmas Party,Joulubileet,1996,84.0,Comedy,the christmas party,7.0,451,True,False,False,False,93849046.89999999
166,166,tt0116984,video,Mannheim Steamroller: Christmas Live,Mannheim Steamroller: Christmas Live,1997,55.0,"Documentary,Music",mannheim steamroller christmas live,6.9,57,True,False,False,False,52227272.31
167,167,tt0117109,tvMovie,The Munsters' Scary Little Christmas,The Munsters' Scary Little Christmas,1996,91.0,"Comedy,Family,Horror",the munsters scary little christmas,4.9,654,True,False,False,False,34369808.830000006
168,168,tt0118201,movie,Will It Snow for Christmas?,Y'aura t'il de la neige à Noël?,1996,90.0,Drama,will it snow for christmas,7.0,881,True,False,False,False,29292814.599999998
